n.name,n.cancer,n.preeclampsia,n.foldc_cancer,n.foldc_pre,n.regulated_cancer,n.regulated_pre
3,1,0,-0.4403701467,null,down,null
10090,1,0,1.206086919,null,up,null
A1bg,1,0,-0.7781455102,null,down,null
A2m,1,0,-0.7111270661,null,down,null
Abcb1b,1,0,-0.5573217453,null,down,null
Acta1,1,0,-0.2846746655,null,down,null
Acta2,1,0,-0.3161512753,null,down,null
Actb,1,0,-0.3226692261,null,down,null
Actc1,1,0,-0.2849658589,null,down,null
Actg2,1,0,-0.3088770231,null,down,null
Actn1,1,1,0.2407382272,0.263761838277183,up,up
Actr3b,1,0,-0.2945143399,null,down,null
Afm,1,0,-0.5748568234,null,down,null
Aimp1,1,0,-0.755434925,null,down,null
Ak2,1,0,-0.8905880204,null,down,null
Alad,1,0,-0.6229818,null,down,null
Aldh2,1,0,-0.461168461,null,down,null
Alpg,1,0,-0.4651712078,null,down,null
Anxa2,1,0,-0.4354893349,null,down,null
Anxa5,1,0,-0.5302422381,null,down,null
Ap2b1,1,0,-0.587743262,null,down,null
Ap2m1,1,0,-0.3819354971,null,down,null
Api5,1,0,-0.586329372,null,down,null
Arf5,1,0,-0.601809359,null,down,null
Arpc3,1,0,-0.4589309675,null,down,null
Atic,1,0,-0.4488054595,null,down,null
Atp1b1,1,0,0.8868314032,null,up,null
Atp5b,1,0,-0.3280337084,null,down,null
Atxn10,1,0,-0.5114893853,null,down,null
Bag3,1,0,1.581039056,null,up,null
Bsg,1,0,0.8376692022,null,up,null
C3,1,0,-0.4562925816,null,down,null
Ca1,1,0,-0.219911234,null,down,null
Cand1,1,0,-0.2006250889,null,down,null
Cdv3,1,0,0.5772867279,null,up,null
Cntrl,1,0,-0.4817629655,null,down,null
Cope,1,0,3.462918883,null,up,null
Cotl1,1,0,0.8217555337,null,up,null
Cpsf6,1,0,-0.4942674674,null,down,null
Cs,1,0,-0.5475531825,null,down,null
Csrp1,1,0,0.33104687,null,up,null
Ctsb,1,0,0.546866192,null,up,null
Ctsl,1,0,-0.5705260353,null,down,null
Cyb5b,1,0,-0.7847536595,null,down,null
D1Pas1,1,0,-0.3518306272,null,down,null
Dbnl,1,0,-1.110251651,null,down,null
Ddost,1,0,-0.5509885587,null,down,null
Ddx17,1,0,-0.4854482184,null,down,null
Ddx3x,1,0,-0.2615749925,null,down,null
Dnajb11,1,1,-0.4289877996,0.442866643269856,down,up
Dpysl2,1,0,-0.7833296765,null,down,null
Dstn,1,0,-0.5078316383,null,down,null
Ehd1,1,1,-0.4507911486,-0.294619242350258,down,down
Ehd4,1,1,0.5762652584,-0.293522834777832,up,down
Eif3a,1,0,-0.8590487218,null,down,null
Eif5a,1,0,0.7073254571,null,up,null
Eif5b,1,0,-0.4929535646,null,down,null
Emc2,1,0,-0.747067405,null,down,null
En2,1,0,-0.6608291122,null,down,null
Ero1l,1,0,0.306257672,null,up,null
Etfb,1,0,0.8233167329,null,up,null
F2,1,1,-0.5538591433,0.293442408243816,down,up
Fkbp14,1,0,0.328003137,null,up,null
Gna13,1,0,-0.8614871227,null,down,null
Gnaq,1,0,1.345042907,null,up,null
Gnas,1,0,-0.7725235012,null,down,null
Gnat1,1,0,-0.3821802066,null,down,null
Gnpda1,1,0,-0.5167531442,null,down,null
Gpd2,1,0,-0.5708793909,null,down,null
Gstm4,1,0,-0.3048643064,null,down,null
Hadhb,1,0,-0.4972500627,null,down,null
Hax1,1,0,1.957400719,null,up,null
Hba-a1,1,0,-0.6852687532,null,down,null
Hbb-b2,1,0,-0.7959888356,null,down,null
Hbb-y,1,0,-0.4560052669,null,down,null
Hbz,1,0,-0.6589598373,null,down,null
Hmbs,1,0,-0.7905052914,null,down,null
Hpx,1,1,0.4443595559,0.555550893147785,up,up
Hspa9,1,0,-0.5229808009,null,down,null
Hspb1,1,0,-0.336033809,null,down,null
Hspd1,1,0,-0.7379347578,null,down,null
Iqgap1,1,0,-0.2838897696,null,down,null
Itga5,1,0,-0.7660322845,null,down,null
Itih2,1,0,-0.3082879961,null,down,null
Kpna4,1,0,-0.9071121196,null,down,null
Kpnb1,1,0,-0.5483829017,null,down,null
Krt18,1,0,-0.4244260553,null,down,null
Krt5,1,0,-0.340232195,null,down,null
Krt75,1,0,-0.289705219,null,down,null
Ldhb,1,0,-0.2638536448,null,down,null
Lgals1,1,1,-0.2875053697,0.315814971923828,down,up
Lman2,1,0,-0.5447158597,null,down,null
Lmnb1,1,0,-0.8651649367,null,down,null
Lonp1,1,0,0.8589787275,null,up,null
Ltf,1,0,0.4125352939,null,up,null
Lyn,1,0,-0.7008717086,null,down,null
Mat2a,1,0,1.70551664,null,up,null
Mug1,1,0,-0.8011966865,null,down,null
Mug2,1,0,-0.3519030168,null,down,null
Myh14,1,0,-0.6231482652,null,down,null
Myl6,1,0,-0.7361574711,null,down,null
Myo1a,1,0,-0.7810437487,null,down,null
Myo1c,1,0,-0.6808446265,null,down,null
Myo5a,1,0,-0.577152741,null,down,null
Napa,1,0,-0.3869948688,null,down,null
Ndrg1,1,0,0.2724770448,null,up,null
