#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Acta1	Actc1	10116.ENSRNOP00000024084	10116.ENSRNOP00000011773	0	0	0	0.987	0	0	0.540	0	0.540
Acta1	Acta2	10116.ENSRNOP00000024084	10116.ENSRNOP00000073101	0	0	0	0.986	0	0	0.540	0	0.540
Acta2	Actc1	10116.ENSRNOP00000073101	10116.ENSRNOP00000011773	0	0	0	0.987	0	0	0.540	0	0.540
Acta2	Tln1	10116.ENSRNOP00000073101	10116.ENSRNOP00000022401	0	0	0	0	0	0.060	0.500	0	0.509
Acta2	Pxn	10116.ENSRNOP00000073101	10116.ENSRNOP00000043928	0	0	0	0	0	0.130	0.500	0	0.546
Acta2	Myl6	10116.ENSRNOP00000073101	10116.ENSRNOP00000070200	0	0	0	0	0	0.176	0.900	0	0.914
Acta2	Myh14	10116.ENSRNOP00000073101	10116.ENSRNOP00000072636	0	0	0	0	0	0.184	0.900	0	0.914
Acta2	Vcl	10116.ENSRNOP00000073101	10116.ENSRNOP00000074748	0	0	0	0	0	0.334	0.500	0	0.652
Actbl2	Ruvbl2	10116.ENSRNOP00000059847	10116.ENSRNOP00000028217	0	0	0	0	0	0.339	0.540	0	0.682
Actc1	Tfrc	10116.ENSRNOP00000011773	10116.ENSRNOP00000002407	0	0	0	0	0	0	0.400	0	0.400
Actc1	Slk	10116.ENSRNOP00000011773	10116.ENSRNOP00000015496	0	0	0	0	0	0	0.400	0	0.400
Actc1	Iqgap1	10116.ENSRNOP00000011773	10116.ENSRNOP00000018021	0	0	0	0	0	0.213	0.400	0	0.507
Actg1	Tuba4a	10116.ENSRNOP00000051859	10116.ENSRNOP00000004797	0	0	0	0	0	0.168	0.400	0	0.479
Actg1	Myo1a	10116.ENSRNOP00000051859	10116.ENSRNOP00000005575	0	0	0	0	0	0.174	0.720	0	0.758
Actg1	Arpc3	10116.ENSRNOP00000051859	10116.ENSRNOP00000011499	0	0	0	0	0	0.353	0.900	0	0.932
Actg1	Iqgap1	10116.ENSRNOP00000051859	10116.ENSRNOP00000018021	0	0	0	0	0	0.213	0.900	0	0.917
Actg1	Lmnb1	10116.ENSRNOP00000051859	10116.ENSRNOP00000019351	0	0	0	0	0	0.081	0.400	0	0.425
Actg1	Anxa5	10116.ENSRNOP00000051859	10116.ENSRNOP00000019552	0	0	0	0	0	0.064	0.400	0	0.414
Actg1	Tln1	10116.ENSRNOP00000051859	10116.ENSRNOP00000022401	0	0	0	0	0	0.045	0.400	0	0.402
Actg1	Myo1c	10116.ENSRNOP00000051859	10116.ENSRNOP00000028929	0	0	0	0	0	0.174	0.900	0	0.913
Actg1	Actr3b	10116.ENSRNOP00000051859	10116.ENSRNOP00000041576	0	0	0	0.848	0	0.333	0.900	0	0.930
Actg1	Pxn	10116.ENSRNOP00000051859	10116.ENSRNOP00000043928	0	0	0	0	0	0.130	0.900	0	0.909
Actg1	Rad23a	10116.ENSRNOP00000051859	10116.ENSRNOP00000074265	0	0	0	0	0	0.117	0.400	0	0.447
Actg1	Itga5	10116.ENSRNOP00000051859	10116.ENSRNOP00000071805	0	0	0	0	0	0	0.650	0	0.650
Actg1	Vcl	10116.ENSRNOP00000051859	10116.ENSRNOP00000074748	0	0	0	0	0	0.184	0.400	0	0.489
Actg1	Myh14	10116.ENSRNOP00000051859	10116.ENSRNOP00000072636	0	0	0	0	0	0.184	0.900	0	0.914
Actg1	Myl6	10116.ENSRNOP00000051859	10116.ENSRNOP00000070200	0	0	0	0	0	0.176	0.900	0	0.914
Actg1	Actn1	10116.ENSRNOP00000051859	10116.ENSRNOP00000068851	0	0	0	0	0	0.218	0.900	0	0.918
Actn1	Lmnb1	10116.ENSRNOP00000068851	10116.ENSRNOP00000019351	0	0	0	0	0	0	0.400	0	0.400
Actn1	Itga5	10116.ENSRNOP00000068851	10116.ENSRNOP00000071805	0	0	0	0	0	0	0.650	0	0.650
Actn1	Vcl	10116.ENSRNOP00000068851	10116.ENSRNOP00000074748	0	0	0	0	0	0.770	0	0	0.770
Actr3b	Arpc3	10116.ENSRNOP00000041576	10116.ENSRNOP00000011499	0	0	0	0	0	0.771	0	0	0.771
Alad	Hmbs	10116.ENSRNOP00000020625	10116.ENSRNOP00000014128	0	0	0	0	0	0.072	0.975	0	0.975
Anxa5	Tuba4a	10116.ENSRNOP00000019552	10116.ENSRNOP00000004797	0	0	0	0	0	0	0.400	0	0.400
Anxa5	Tln1	10116.ENSRNOP00000019552	10116.ENSRNOP00000022401	0	0	0	0	0	0	0.400	0	0.400
Anxa5	Vcl	10116.ENSRNOP00000019552	10116.ENSRNOP00000074748	0	0	0	0	0	0	0.400	0	0.400
Ap2b1	Tfrc	10116.ENSRNOP00000072290	10116.ENSRNOP00000002407	0	0	0	0	0	0.306	0.500	0	0.638
Ap2b1	Arf5	10116.ENSRNOP00000072290	10116.ENSRNOP00000010429	0	0	0	0	0	0.409	0	0	0.408
Ap2b1	Ap2m1	10116.ENSRNOP00000072290	10116.ENSRNOP00000070202	0	0	0	0	0	0.996	0.900	0	0.999
Ap2m1	Tfrc	10116.ENSRNOP00000070202	10116.ENSRNOP00000002407	0	0	0	0	0	0	0.500	0	0.499
Arf5	Cope	10116.ENSRNOP00000010429	10116.ENSRNOP00000027381	0	0	0	0	0	0.163	0.500	0	0.563
Arpc3	Myo1a	10116.ENSRNOP00000011499	10116.ENSRNOP00000005575	0	0	0	0	0	0.045	0.720	0	0.721
Arpc3	Myo5a	10116.ENSRNOP00000011499	10116.ENSRNOP00000073223	0	0	0	0	0	0.107	0.500	0	0.534
Arpc3	Myo1c	10116.ENSRNOP00000011499	10116.ENSRNOP00000028929	0	0	0	0	0	0.058	0.720	0	0.724
Atp5f1b	Ddx3y	10116.ENSRNOP00000003965	10116.ENSRNOP00000003378	0	0	0	0	0	0.548	0	0	0.548
Atp5f1b	Ddx3x	10116.ENSRNOP00000003965	10116.ENSRNOP00000074025	0	0	0	0	0	0.548	0	0	0.548
Atp5f1b	Hspd1	10116.ENSRNOP00000003965	10116.ENSRNOP00000063666	0	0	0	0	0	0.099	0.400	0	0.436
C3	F2	10116.ENSRNOP00000066885	10116.ENSRNOP00000022233	0	0	0	0	0	0.142	0.720	0	0.749
Cope	Napa	10116.ENSRNOP00000027381	10116.ENSRNOP00000002044	0	0	0	0	0	0	0.500	0	0.499
Cope	Sptan1	10116.ENSRNOP00000027381	10116.ENSRNOP00000072038	0	0	0	0	0	0.058	0.500	0	0.508
Cs	Ldhb	10116.ENSRNOP00000034921	10116.ENSRNOP00000017965	0	0	0	0	0	0.281	0.364	0	0.523
Cs	Hadhb	10116.ENSRNOP00000034921	10116.ENSRNOP00000072480	0	0	0	0	0	0.080	0.861	0	0.867
Cs	Suclg2	10116.ENSRNOP00000034921	10116.ENSRNOP00000060990	0	0	0	0	0	0.642	0.400	0	0.776
Ctsb	Ctsl	10116.ENSRNOP00000014178	10116.ENSRNOP00000025462	0	0	0	0.621	0	0.132	0.900	0	0.909
Ddx3x	Ddx3y	10116.ENSRNOP00000074025	10116.ENSRNOP00000003378	0	0	0	0.986	0	0	0.900	0	0.900
Ddx3x	Rps13	10116.ENSRNOP00000074025	10116.ENSRNOP00000036690	0	0	0	0	0	0.145	0.360	0	0.429
Ddx3x	Eif3a	10116.ENSRNOP00000074025	10116.ENSRNOP00000063484	0	0	0	0	0	0.171	0.360	0	0.446
Dnajb11	Ruvbl2	10116.ENSRNOP00000002462	10116.ENSRNOP00000028217	0	0	0	0	0	0.081	0.720	0	0.731
Dnajb11	P4hb	10116.ENSRNOP00000002462	10116.ENSRNOP00000051841	0	0	0	0	0	0.134	0.720	0	0.747
Ehd1	Ehd4	10116.ENSRNOP00000051714	10116.ENSRNOP00000010701	0	0	0	0.978	0	0.518	0	0	0.518
Eif3a	Rps13	10116.ENSRNOP00000063484	10116.ENSRNOP00000036690	0	0	0	0	0	0.770	0	0	0.770
Eif3a	Rack1-2	10116.ENSRNOP00000063484	10116.ENSRNOP00000068758	0	0	0	0	0	0.717	0	0	0.717
Eif5a	Rpl24	10116.ENSRNOP00000022343	10116.ENSRNOP00000002194	0	0	0	0	0	0.699	0	0	0.699
Eif5a	Rpl32	10116.ENSRNOP00000022343	10116.ENSRNOP00000014493	0	0	0	0	0	0.517	0	0	0.517
Eif5a	Rpl22	10116.ENSRNOP00000022343	10116.ENSRNOP00000014905	0	0	0	0	0	0.530	0	0	0.530
Eif5a	Rpl30	10116.ENSRNOP00000022343	10116.ENSRNOP00000054398	0	0	0	0	0	0.486	0	0	0.485
Eif5a	Rpl23a	10116.ENSRNOP00000022343	10116.ENSRNOP00000036391	0	0	0	0	0	0.484	0	0	0.483
Eif5a	Rpl14	10116.ENSRNOP00000022343	10116.ENSRNOP00000073315	0	0	0	0	0	0.547	0	0	0.547
Eif5a	Rack1-2	10116.ENSRNOP00000022343	10116.ENSRNOP00000068758	0	0	0	0	0	0.548	0	0	0.548
Eif5a	Rps13	10116.ENSRNOP00000022343	10116.ENSRNOP00000036690	0	0	0	0	0	0.701	0	0	0.701
Eif5b-2	Rpl24	10116.ENSRNOP00000065578	10116.ENSRNOP00000002194	0	0	0	0	0	0.695	0	0	0.695
Eif5b-2	Rpl32	10116.ENSRNOP00000065578	10116.ENSRNOP00000014493	0	0	0	0	0	0.504	0	0	0.504
Eif5b-2	Rpl22	10116.ENSRNOP00000065578	10116.ENSRNOP00000014905	0	0	0	0	0	0.525	0	0	0.525
Eif5b-2	Rpl23a	10116.ENSRNOP00000065578	10116.ENSRNOP00000036391	0	0	0	0	0	0.420	0	0	0.420
Eif5b-2	Rps13	10116.ENSRNOP00000065578	10116.ENSRNOP00000036690	0	0	0	0	0	0.700	0	0	0.700
Eif5b-2	Rpl30	10116.ENSRNOP00000065578	10116.ENSRNOP00000054398	0	0	0	0	0	0.478	0	0	0.478
Eif5b-2	Rpl14	10116.ENSRNOP00000065578	10116.ENSRNOP00000073315	0	0	0	0	0	0.543	0	0	0.543
Eif5b-2	Rack1-2	10116.ENSRNOP00000065578	10116.ENSRNOP00000068758	0	0	0	0	0	0.547	0	0	0.547
Ero1a	P4hb	10116.ENSRNOP00000009404	10116.ENSRNOP00000051841	0	0	0	0	0	0.522	0.900	0	0.950
Gna13	Gnaq	10116.ENSRNOP00000051938	10116.ENSRNOP00000019174	0	0	0	0.921	0	0.125	0.540	0	0.580
Gna13	Gnat1	10116.ENSRNOP00000051938	10116.ENSRNOP00000023791	0	0	0	0.890	0	0.063	0.540	0	0.550
Gnaq	Rras2	10116.ENSRNOP00000019174	10116.ENSRNOP00000017199	0	0	0	0	0	0.079	0.650	0	0.663
Gnaq	Gnat1	10116.ENSRNOP00000019174	10116.ENSRNOP00000023791	0	0	0	0.933	0	0.061	0.900	0	0.902
Gpd2	Sdha	10116.ENSRNOP00000043749	10116.ENSRNOP00000018336	0	0	0	0	0	0	0.761	0	0.761
Hadhb	Sdha	10116.ENSRNOP00000072480	10116.ENSRNOP00000018336	0	0	0	0	0	0.051	0.396	0	0.402
Hadhb	Suclg2	10116.ENSRNOP00000072480	10116.ENSRNOP00000060990	0	0	0	0	0	0	0.820	0	0.820
Hba-a1	Hbz	10116.ENSRNOP00000041451	10116.ENSRNOP00000027851	0	0	0	0.949	0	0	0.540	0	0.540
Hba-a1	Rps13	10116.ENSRNOP00000041451	10116.ENSRNOP00000036690	0	0	0	0	0	0.100	0.720	0	0.737
Hba-a1	Hbe1	10116.ENSRNOP00000041451	10116.ENSRNOP00000040010	0	0	0	0.887	0	0.538	0.900	0	0.951
Hba-a1	Hbb-b1	10116.ENSRNOP00000041451	10116.ENSRNOP00000068875	0	0	0	0.882	0	0.678	0.540	0	0.845
Hbb-b1	Hbz	10116.ENSRNOP00000068875	10116.ENSRNOP00000027851	0	0	0	0.866	0	0.522	0.540	0	0.770
Hbb-b1	Hbe1	10116.ENSRNOP00000068875	10116.ENSRNOP00000040010	0	0	0	0.969	0	0	0.540	0	0.540
Hbe1	Hbz	10116.ENSRNOP00000040010	10116.ENSRNOP00000027851	0	0	0	0.901	0	0.538	0.540	0	0.778
Hspa9	Hspd1	10116.ENSRNOP00000026696	10116.ENSRNOP00000063666	0	0	0	0	0	0.515	0	0	0.515
