#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ada	Nt5c3a	10116.ENSRNOP00000014151	10116.ENSRNOP00000071357	0	0	0	0	0	0	0.900	0	0.900
Alg5	Dpm1	10116.ENSRNOP00000068790	10116.ENSRNOP00000016150	0	0	0	0.640	0	0	0.900	0	0.900
B2m	Tfrc	10116.ENSRNOP00000023017	10116.ENSRNOP00000002407	0	0	0	0	0	0.499	0.720	0	0.853
B2m	Calr	10116.ENSRNOP00000023017	10116.ENSRNOP00000004091	0	0	0	0	0	0.327	0.720	0	0.803
B2m	Hspa5	10116.ENSRNOP00000023017	10116.ENSRNOP00000025064	0	0	0	0	0	0	0.500	0	0.499
B2m	Tapbp	10116.ENSRNOP00000023017	10116.ENSRNOP00000045630	0	0	0	0	0	0.502	0.720	0	0.854
Calr	Pdia4	10116.ENSRNOP00000004091	10116.ENSRNOP00000008728	0	0	0	0	0	0.403	0	0	0.402
Calr	Hspa5	10116.ENSRNOP00000004091	10116.ENSRNOP00000025064	0	0	0	0	0	0.128	0.500	0	0.545
Calr	Tapbp	10116.ENSRNOP00000004091	10116.ENSRNOP00000045630	0	0	0	0	0	0.720	0.900	0	0.970
Cd55	Uso1	10116.ENSRNOP00000005284	10116.ENSRNOP00000003277	0	0	0	0	0	0	0.500	0	0.499
Cd55	Tmed7	10116.ENSRNOP00000005284	10116.ENSRNOP00000004942	0	0	0	0	0	0	0.500	0	0.499
Cd55	Tmed3	10116.ENSRNOP00000005284	10116.ENSRNOP00000018603	0	0	0	0	0	0	0.500	0	0.499
Cd55	Copz2	10116.ENSRNOP00000005284	10116.ENSRNOP00000052330	0	0	0	0	0	0	0.500	0	0.499
Cd55	Sptan1	10116.ENSRNOP00000005284	10116.ENSRNOP00000072038	0	0	0	0	0	0.063	0.500	0	0.511
Cd55	Cd59	10116.ENSRNOP00000005284	10116.ENSRNOP00000060967	0	0	0	0	0	0	0.400	0	0.400
Cd59	Uso1	10116.ENSRNOP00000060967	10116.ENSRNOP00000003277	0	0	0	0	0	0	0.500	0	0.499
Cd59	Tmed7	10116.ENSRNOP00000060967	10116.ENSRNOP00000004942	0	0	0	0	0	0	0.500	0	0.499
Cd59	Tmed3	10116.ENSRNOP00000060967	10116.ENSRNOP00000018603	0	0	0	0	0	0	0.500	0	0.499
Cd59	Lman2	10116.ENSRNOP00000060967	10116.ENSRNOP00000021638	0	0	0	0	0	0	0.500	0	0.499
Cd59	Copz2	10116.ENSRNOP00000060967	10116.ENSRNOP00000052330	0	0	0	0	0	0	0.500	0	0.499
Cd59	Sptan1	10116.ENSRNOP00000060967	10116.ENSRNOP00000072038	0	0	0	0	0	0	0.500	0	0.499
Cda	Upp1	10116.ENSRNOP00000021036	10116.ENSRNOP00000006765	0	0	0	0	0	0	0.947	0	0.947
Cda	Dera	10116.ENSRNOP00000021036	10116.ENSRNOP00000009998	0	0	0	0	0	0	0.498	0	0.497
Cda	Cmpk2	10116.ENSRNOP00000021036	10116.ENSRNOP00000043468	0	0	0	0	0	0	0.498	0	0.497
Cda	Nt5c3a	10116.ENSRNOP00000021036	10116.ENSRNOP00000071357	0	0	0	0	0	0	0.900	0	0.900
Cdh1	Coro1c	10116.ENSRNOP00000027346	10116.ENSRNOP00000000886	0	0	0	0	0	0.084	0.720	0	0.732
Cgm4	Psg29	10116.ENSRNOP00000033854	10116.ENSRNOP00000044708	0	0	0	0.933	0	0	0.400	0	0.400
Cmpk2	Impact	10116.ENSRNOP00000043468	10116.ENSRNOP00000064200	0	0	0	0	0	0	0.574	0	0.574
Cmpk2	Nt5c3a	10116.ENSRNOP00000043468	10116.ENSRNOP00000071357	0	0	0	0	0	0	0.900	0	0.900
Col1a1	Itga6	10116.ENSRNOP00000005311	10116.ENSRNOP00000002075	0	0	0	0	0	0.046	0.650	0	0.651
Col1a1	Ppib	10116.ENSRNOP00000005311	10116.ENSRNOP00000022828	0	0	0	0	0	0	0.500	0	0.499
Col1a1	LOC102555086	10116.ENSRNOP00000005311	10116.ENSRNOP00000068391	0	0	0	0	0	0.081	0.500	0	0.520
Copz2	Uso1	10116.ENSRNOP00000052330	10116.ENSRNOP00000003277	0	0	0	0	0	0.092	0.500	0	0.526
Copz2	Tmed7	10116.ENSRNOP00000052330	10116.ENSRNOP00000004942	0	0	0	0	0	0	0.500	0	0.499
Copz2	Tmed3	10116.ENSRNOP00000052330	10116.ENSRNOP00000018603	0	0	0	0	0	0	0.720	0	0.720
Copz2	Sptan1	10116.ENSRNOP00000052330	10116.ENSRNOP00000072038	0	0	0	0	0	0	0.500	0	0.499
Cox5b	MGC105649	10116.ENSRNOP00000022487	10116.ENSRNOP00000065010	0	0	0	0	0	0.067	0.540	0	0.552
Cyp2s1	Gstp1	10116.ENSRNOP00000028177	10116.ENSRNOP00000024601	0	0	0	0	0	0	0.650	0	0.650
Dad1	Sec61a1	10116.ENSRNOP00000012233	10116.ENSRNOP00000018455	0	0	0	0	0	0.771	0	0	0.771
Dag1	Krt19	10116.ENSRNOP00000026327	10116.ENSRNOP00000019133	0	0	0	0	0	0	0.900	0	0.900
Dag1	Lama1	10116.ENSRNOP00000026327	10116.ENSRNOP00000023224	0	0	0	0	0	0.104	0.900	0	0.906
Dag1	Lama5	10116.ENSRNOP00000026327	10116.ENSRNOP00000074084	0	0	0	0	0	0.100	0.650	0	0.671
Dera	Pgm2	10116.ENSRNOP00000009998	10116.ENSRNOP00000002977	0	0	0	0	0	0	0.408	0	0.408
Dera	Hk2	10116.ENSRNOP00000009998	10116.ENSRNOP00000008813	0	0	0	0	0	0	0.800	0	0.800
Dera	Ldhb	10116.ENSRNOP00000009998	10116.ENSRNOP00000017965	0	0	0	0	0	0	0.800	0	0.800
Dnajb11	Ruvbl2	10116.ENSRNOP00000002462	10116.ENSRNOP00000028217	0	0	0	0	0	0.081	0.720	0	0.731
Dnajb11	Ppib	10116.ENSRNOP00000002462	10116.ENSRNOP00000022828	0	0	0	0	0	0.162	0.720	0	0.755
Dnajb11	Sdf2l1	10116.ENSRNOP00000002462	10116.ENSRNOP00000002540	0	0	0	0	0	0.367	0.720	0	0.815
Dnajb11	Pdia4	10116.ENSRNOP00000002462	10116.ENSRNOP00000008728	0	0	0	0	0	0.134	0.720	0	0.747
Dnajb11	Hspa5	10116.ENSRNOP00000002462	10116.ENSRNOP00000025064	0	0	0	0	0	0.755	0.755	0	0.937
Doxl1	Srm	10116.ENSRNOP00000033821	10116.ENSRNOP00000014934	0	0	0	0	0	0	0.900	0	0.900
Dpm1	Gmppb	10116.ENSRNOP00000016150	10116.ENSRNOP00000026854	0	0	0	0	0	0.072	0.800	0	0.806
