node1,node2,node1_id,node2_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
Acta1,Acta2,10090.ENSMUSP00000034453,10090.ENSMUSP00000048218,0,0,0,0.987,0,0.0,0.54,0,0.54
Acta1,Actc1,10090.ENSMUSP00000034453,10090.ENSMUSP00000087736,0,0,0,0.987,0,0.0,0.54,0,0.54
Acta2,Vcl,10090.ENSMUSP00000048218,10090.ENSMUSP00000022369,0,0,0,0.0,0,0.304,0.5,0,0.637
Acta2,Tln1,10090.ENSMUSP00000048218,10090.ENSMUSP00000030187,0,0,0,0.0,0,0.0,0.5,0,0.499
Acta2,Myh14,10090.ENSMUSP00000048218,10090.ENSMUSP00000046059,0,0,0,0.0,0,0.184,0.9,0,0.914
Acta2,Actc1,10090.ENSMUSP00000048218,10090.ENSMUSP00000087736,0,0,0,0.987,0,0.0,0.54,0,0.54
Acta2,Pxn,10090.ENSMUSP00000048218,10090.ENSMUSP00000083709,0,0,0,0.0,0,0.082,0.5,0,0.521
Acta2,Myl6,10090.ENSMUSP00000048218,10090.ENSMUSP00000128803,0,0,0,0.0,0,0.126,0.9,0,0.908
Actbl2,Ruvbl2,10090.ENSMUSP00000052086,10090.ENSMUSP00000147502,0,0,0,0.0,0,0.303,0.54,0,0.665
Actc1,Tfrc,10090.ENSMUSP00000087736,10090.ENSMUSP00000023486,0,0,0,0.0,0,0.0,0.4,0,0.4
Actc1,Slk,10090.ENSMUSP00000087736,10090.ENSMUSP00000049977,0,0,0,0.0,0,0.0,0.4,0,0.4
Actc1,Iqgap1,10090.ENSMUSP00000087736,10090.ENSMUSP00000128278,0,0,0,0.0,0,0.189,0.4,0,0.492
Actg1,Actn1,10090.ENSMUSP00000071486,10090.ENSMUSP00000021554,0,0,0,0.0,0,0.187,0.9,0,0.915
Actg1,Vcl,10090.ENSMUSP00000071486,10090.ENSMUSP00000022369,0,0,0,0.0,0,0.184,0.9,0,0.914
Actg1,Itga5,10090.ENSMUSP00000071486,10090.ENSMUSP00000023128,0,0,0,0.0,0,0.0,0.65,0,0.65
Actg1,Lmnb1,10090.ENSMUSP00000071486,10090.ENSMUSP00000025486,0,0,0,0.0,0,0.081,0.4,0,0.425
Actg1,Anxa5,10090.ENSMUSP00000071486,10090.ENSMUSP00000029266,0,0,0,0.0,0,0.063,0.4,0,0.413
Actg1,Tln1,10090.ENSMUSP00000071486,10090.ENSMUSP00000030187,0,0,0,0.0,0,0.0,0.4,0,0.4
Actg1,Cotl1,10090.ENSMUSP00000071486,10090.ENSMUSP00000034285,0,0,0,0.0,0,0.529,0.0,0,0.529
Actg1,Myh14,10090.ENSMUSP00000071486,10090.ENSMUSP00000046059,0,0,0,0.0,0,0.26,0.9,0,0.922
Actg1,Rad23a,10090.ENSMUSP00000071486,10090.ENSMUSP00000105383,0,0,0,0.0,0,0.108,0.4,0,0.441
Actg1,Ruvbl2,10090.ENSMUSP00000071486,10090.ENSMUSP00000147502,0,0,0,0.0,0,0.425,0.0,0,0.425
Actg1,Dstn,10090.ENSMUSP00000071486,10090.ENSMUSP00000099461,0,0,0,0.0,0,0.483,0.0,0,0.483
Actg1,Tuba4a,10090.ENSMUSP00000071486,10090.ENSMUSP00000140657,0,0,0,0.0,0,0.14,0.4,0,0.461
Actg1,Myo1a,10090.ENSMUSP00000071486,10090.ENSMUSP00000078540,0,0,0,0.0,0,0.236,0.72,0,0.776
Actg1,Myo1c,10090.ENSMUSP00000071486,10090.ENSMUSP00000104069,0,0,0,0.0,0,0.236,0.9,0,0.92
Actg1,Pxn,10090.ENSMUSP00000071486,10090.ENSMUSP00000083709,0,0,0,0.0,0,0.082,0.9,0,0.904
Actg1,Actr3b,10090.ENSMUSP00000071486,10090.ENSMUSP00000085578,0,0,0,0.87,0,0.305,0.9,0,0.927
Actg1,Iqgap1,10090.ENSMUSP00000071486,10090.ENSMUSP00000128278,0,0,0,0.0,0,0.189,0.9,0,0.915
Actg1,Myl6,10090.ENSMUSP00000071486,10090.ENSMUSP00000128803,0,0,0,0.0,0,0.126,0.9,0,0.908
Actg1,Arpc3,10090.ENSMUSP00000071486,10090.ENSMUSP00000099584,0,0,0,0.0,0,0.364,0.9,0,0.933
Actn1,Lmnb1,10090.ENSMUSP00000021554,10090.ENSMUSP00000025486,0,0,0,0.0,0,0.0,0.4,0,0.4
Actn1,Itga5,10090.ENSMUSP00000021554,10090.ENSMUSP00000023128,0,0,0,0.0,0,0.0,0.65,0,0.65
Actn1,Vcl,10090.ENSMUSP00000021554,10090.ENSMUSP00000022369,0,0,0,0.0,0,0.755,0.9,0,0.974
Actr3b,Arpc3,10090.ENSMUSP00000085578,10090.ENSMUSP00000099584,0,0,0,0.0,0,0.803,0.0,0,0.803
Alad,Hmbs,10090.ENSMUSP00000103068,10090.ENSMUSP00000076575,0,0,0,0.0,0,0.073,0.9,0,0.903
Anxa5,Vcl,10090.ENSMUSP00000029266,10090.ENSMUSP00000022369,0,0,0,0.0,0,0.0,0.4,0,0.4
Anxa5,Tuba4a,10090.ENSMUSP00000029266,10090.ENSMUSP00000140657,0,0,0,0.0,0,0.0,0.4,0,0.4
Anxa5,Tln1,10090.ENSMUSP00000029266,10090.ENSMUSP00000030187,0,0,0,0.0,0,0.0,0.4,0,0.4
Ap2b1,Ap2m1,10090.ENSMUSP00000018875,10090.ENSMUSP00000007216,0,0,0,0.0,0,0.985,0.9,0,0.998
Ap2b1,Tfrc,10090.ENSMUSP00000018875,10090.ENSMUSP00000023486,0,0,0,0.0,0,0.111,0.5,0,0.536
Ap2m1,Tfrc,10090.ENSMUSP00000007216,10090.ENSMUSP00000023486,0,0,0,0.0,0,0.0,0.5,0,0.499
Arf5,Cope,10090.ENSMUSP00000020717,10090.ENSMUSP00000071078,0,0,0,0.0,0,0.124,0.5,0,0.543
Arpc3,Myo1a,10090.ENSMUSP00000099584,10090.ENSMUSP00000078540,0,0,0,0.0,0,0.042,0.72,0,0.72
Arpc3,Myo5a,10090.ENSMUSP00000099584,10090.ENSMUSP00000116028,0,0,0,0.0,0,0.104,0.5,0,0.532
Arpc3,Myo1c,10090.ENSMUSP00000099584,10090.ENSMUSP00000104069,0,0,0,0.0,0,0.058,0.72,0,0.724
Atp5b,Ddx3x,10090.ENSMUSP00000026459,10090.ENSMUSP00000000804,0,0,0,0.0,0,0.548,0.0,0,0.548
Atp5b,D1Pas1,10090.ENSMUSP00000026459,10090.ENSMUSP00000035261,0,0,0,0.0,0,0.548,0.0,0,0.548
Atp5b,Hspd1,10090.ENSMUSP00000026459,10090.ENSMUSP00000027123,0,0,0,0.0,0,0.095,0.4,0,0.433
Bag3,Hspb1,10090.ENSMUSP00000033136,10090.ENSMUSP00000005077,0,0,0,0.0,0,0.479,0.0,0,0.479
Bag3,Hspa9,10090.ENSMUSP00000033136,10090.ENSMUSP00000025217,0,0,0,0.0,0,0.364,0.4,0,0.602
Bag3,Dnajb11,10090.ENSMUSP00000033136,10090.ENSMUSP00000126828,0,0,0,0.0,0,0.119,0.72,0,0.742
Bag3,Ruvbl2,10090.ENSMUSP00000033136,10090.ENSMUSP00000147502,0,0,0,0.0,0,0.098,0.72,0,0.736
C3,Psap,10090.ENSMUSP00000024988,10090.ENSMUSP00000137476,0,0,0,0.0,0,0.0,0.5,0,0.499
C3,F2,10090.ENSMUSP00000024988,10090.ENSMUSP00000028681,0,0,0,0.0,0,0.131,0.72,0,0.746
Cope,Napa,10090.ENSMUSP00000071078,10090.ENSMUSP00000006181,0,0,0,0.0,0,0.0,0.5,0,0.499
Cope,Sptan1,10090.ENSMUSP00000071078,10090.ENSMUSP00000121116,0,0,0,0.0,0,0.058,0.5,0,0.508
Cs,Suclg2,10090.ENSMUSP00000005826,10090.ENSMUSP00000144827,0,0,0,0.0,0,0.474,0.0,0,0.474
Cs,Hadhb,10090.ENSMUSP00000005826,10090.ENSMUSP00000110434,0,0,0,0.0,0,0.072,0.8,0,0.806
Ctsb,Ctsl,10090.ENSMUSP00000006235,10090.ENSMUSP00000152169,0,0,0,0.614,0,0.345,0.9,0,0.931
D1Pas1,Ddx3x,10090.ENSMUSP00000035261,10090.ENSMUSP00000000804,0,0,0,0.986,0,0.0,0.9,0,0.9
D1Pas1,Eif3a,10090.ENSMUSP00000035261,10090.ENSMUSP00000025955,0,0,0,0.0,0,0.135,0.72,0,0.747
D1Pas1,Hba-a2,10090.ENSMUSP00000035261,10090.ENSMUSP00000090895,0,0,0,0.0,0,0.055,0.72,0,0.724
D1Pas1,Rps13,10090.ENSMUSP00000035261,10090.ENSMUSP00000126294,0,0,0,0.0,0,0.136,0.72,0,0.747
Ddx3x,Hba-a2,10090.ENSMUSP00000000804,10090.ENSMUSP00000090895,0,0,0,0.0,0,0.055,0.72,0,0.724
Ddx3x,Rps13,10090.ENSMUSP00000000804,10090.ENSMUSP00000126294,0,0,0,0.0,0,0.283,0.72,0,0.79
Ddx3x,Eif3a,10090.ENSMUSP00000000804,10090.ENSMUSP00000025955,0,0,0,0.0,0,0.293,0.72,0,0.793
Dnajb11,P4hb,10090.ENSMUSP00000126828,10090.ENSMUSP00000026122,0,0,0,0.0,0,0.127,0.72,0,0.745
Dnajb11,Ruvbl2,10090.ENSMUSP00000126828,10090.ENSMUSP00000147502,0,0,0,0.0,0,0.081,0.72,0,0.731
Ehd1,Ehd4,10090.ENSMUSP00000025684,10090.ENSMUSP00000028755,0,0,0,0.978,0,0.525,0.0,0,0.525
Eif3a,Rack1,10090.ENSMUSP00000025955,10090.ENSMUSP00000020640,0,0,0,0.0,0,0.913,0.0,0,0.913
Eif3a,Eif5b,10090.ENSMUSP00000025955,10090.ENSMUSP00000027252,0,0,0,0.0,0,0.439,0.0,0,0.439
Eif3a,Rps13,10090.ENSMUSP00000025955,10090.ENSMUSP00000126294,0,0,0,0.0,0,0.906,0.0,0,0.906
Eif5a,Rack1,10090.ENSMUSP00000047008,10090.ENSMUSP00000020640,0,0,0,0.0,0,0.767,0.0,0,0.767
Eif5a,Rpl24,10090.ENSMUSP00000047008,10090.ENSMUSP00000023269,0,0,0,0.0,0,0.767,0.0,0,0.767
Eif5a,Rpl22,10090.ENSMUSP00000047008,10090.ENSMUSP00000118787,0,0,0,0.0,0,0.64,0.0,0,0.64
Eif5a,Rpl32,10090.ENSMUSP00000047008,10090.ENSMUSP00000145350,0,0,0,0.0,0,0.81,0.0,0,0.81
Eif5a,Rpl14,10090.ENSMUSP00000047008,10090.ENSMUSP00000131489,0,0,0,0.0,0,0.811,0.0,0,0.811
Eif5a,Rps13,10090.ENSMUSP00000047008,10090.ENSMUSP00000126294,0,0,0,0.0,0,0.81,0.0,0,0.81
Eif5a,Rpl30,10090.ENSMUSP00000047008,10090.ENSMUSP00000106014,0,0,0,0.0,0,0.767,0.0,0,0.767
Eif5a,Rpl23a,10090.ENSMUSP00000047008,10090.ENSMUSP00000099541,0,0,0,0.0,0,0.859,0.0,0,0.859
Eif5b,Rack1,10090.ENSMUSP00000027252,10090.ENSMUSP00000020640,0,0,0,0.0,0,0.913,0.0,0,0.913
Eif5b,Rpl24,10090.ENSMUSP00000027252,10090.ENSMUSP00000023269,0,0,0,0.0,0,0.833,0.0,0,0.833
Eif5b,Rpl22,10090.ENSMUSP00000027252,10090.ENSMUSP00000118787,0,0,0,0.0,0,0.766,0.0,0,0.766
Eif5b,Rpl32,10090.ENSMUSP00000027252,10090.ENSMUSP00000145350,0,0,0,0.0,0,0.832,0.0,0,0.832
Eif5b,Rpl14,10090.ENSMUSP00000027252,10090.ENSMUSP00000131489,0,0,0,0.0,0,0.833,0.0,0,0.833
Eif5b,Rpl30,10090.ENSMUSP00000027252,10090.ENSMUSP00000106014,0,0,0,0.0,0,0.867,0.0,0,0.867
Eif5b,Rps13,10090.ENSMUSP00000027252,10090.ENSMUSP00000126294,0,0,0,0.0,0,0.913,0.0,0,0.913
Eif5b,Rpl23a,10090.ENSMUSP00000027252,10090.ENSMUSP00000099541,0,0,0,0.0,0,0.902,0.0,0,0.902
Ero1l,P4hb,10090.ENSMUSP00000022378,10090.ENSMUSP00000026122,0,0,0,0.0,0,0.526,0.9,0,0.95
Gna13,Gnat1,10090.ENSMUSP00000020930,10090.ENSMUSP00000010205,0,0,0,0.893,0,0.0,0.72,0,0.72
Gna13,Gnas,10090.ENSMUSP00000020930,10090.ENSMUSP00000140174,0,0,0,0.857,0,0.174,0.72,0,0.758
Gna13,Gnaq,10090.ENSMUSP00000020930,10090.ENSMUSP00000025541,0,0,0,0.921,0,0.329,0.72,0,0.804
Gnaq,Gnat1,10090.ENSMUSP00000025541,10090.ENSMUSP00000010205,0,0,0,0.934,0,0.0,0.72,0,0.72
Gnaq,Rras2,10090.ENSMUSP00000025541,10090.ENSMUSP00000069752,0,0,0,0.0,0,0.078,0.65,0,0.663
Gnaq,Gnas,10090.ENSMUSP00000025541,10090.ENSMUSP00000140174,0,0,0,0.887,0,0.063,0.72,0,0.726
Gnas,Gnat1,10090.ENSMUSP00000140174,10090.ENSMUSP00000010205,0,0,0,0.888,0,0.096,0.72,0,0.736
Hadhb,Suclg2,10090.ENSMUSP00000110434,10090.ENSMUSP00000144827,0,0,0,0.0,0,0.0,0.8,0,0.8
Hba-a2,Hba-x,10090.ENSMUSP00000090895,10090.ENSMUSP00000020531,0,0,0,0.954,0,0.0,0.54,0,0.54
Hba-a2,Hpx,10090.ENSMUSP00000090895,10090.ENSMUSP00000033185,0,0,0,0.0,0,0.0,0.5,0,0.499
Hba-a2,Hbb-y,10090.ENSMUSP00000090895,10090.ENSMUSP00000033229,0,0,0,0.879,0,0.551,0.54,0,0.784
Hba-a2,Rps13,10090.ENSMUSP00000090895,10090.ENSMUSP00000126294,0,0,0,0.0,0,0.327,0.72,0,0.803
Hba-x,Hbb-y,10090.ENSMUSP00000020531,10090.ENSMUSP00000033229,0,0,0,0.891,0,0.551,0.72,0,0.868
Hspa9,Hspd1,10090.ENSMUSP00000025217,10090.ENSMUSP00000027123,0,0,0,0.0,0,0.652,0.0,0,0.652
